"dataset","model","component","metric","value"
"simulation_2","repo","additive","ess_tail_q10",3060.70365513888
"simulation_2","repo","additive","ess_tail_median",3483.63156749594
"simulation_2","semi","theta","n",2000
"simulation_2","semi","theta","rhat_max",1.00685190977282
"simulation_2","semi","theta","rhat_q99",1.00388488258884
"simulation_2","semi","theta","rhat_gt_1_01",0
"simulation_2","semi","theta","ess_bulk_min",3432.66349725415
"simulation_2","semi","theta","ess_bulk_q10",5272.93082227564
"simulation_2","semi","theta","ess_bulk_median",6187.75941241639
"simulation_2","semi","theta","ess_tail_min",2175.41191701866
"simulation_2","semi","theta","ess_tail_q10",2770.75860170883
"simulation_2","semi","theta","ess_tail_median",3091.09454527731
"simulation_2","semi","interaction","n",2000
"simulation_2","semi","interaction","rhat_max",1.00710864812878
"simulation_2","semi","interaction","rhat_q99",1.00379905665452
"simulation_2","semi","interaction","rhat_gt_1_01",0
"simulation_2","semi","interaction","ess_bulk_min",3328.95277867623
"simulation_2","semi","interaction","ess_bulk_q10",4886.26253519461
"simulation_2","semi","interaction","ess_bulk_median",5938.59576615347
"simulation_2","semi","interaction","ess_tail_min",2114.77484469024
"simulation_2","semi","interaction","ess_tail_q10",2804.09155457108
"simulation_2","semi","interaction","ess_tail_median",3140.48719640302
"simulation_2","semi","additive","n",121
"simulation_2","semi","additive","rhat_max",1.00528969837791
"simulation_2","semi","additive","rhat_q99",1.00391660158977
"simulation_2","semi","additive","rhat_gt_1_01",0
"simulation_2","semi","additive","ess_bulk_min",5482.80998130213
"simulation_2","semi","additive","ess_bulk_q10",6364.09589156373
"simulation_2","semi","additive","ess_bulk_median",7192.29317992484
"simulation_2","semi","additive","ess_tail_min",2205.81488725228
"simulation_2","semi","additive","ess_tail_q10",2564.32099627304
"simulation_2","semi","additive","ess_tail_median",2844.98137850617
"simulation_2","semi","spectrum","n",6
"simulation_2","semi","spectrum","rhat_max",1.00408191244939
"simulation_2","semi","spectrum","rhat_q99",1.00399249056321
"simulation_2","semi","spectrum","rhat_gt_1_01",0
"simulation_2","semi","spectrum","ess_bulk_min",1837.26774661667
"simulation_2","semi","spectrum","ess_bulk_q10",1923.59421537551
"simulation_2","semi","spectrum","ess_bulk_median",3119.09503692342
"simulation_2","semi","spectrum","ess_tail_min",1180.25037399619
"simulation_2","semi","spectrum","ess_tail_q10",1314.55983451557
"simulation_2","semi","spectrum","ess_tail_median",2488.92148320952
